"Customer","Cust Name","Addr 1","Addr 2","City","State","Postal","Country","Cust Tel","Cust Fax","Cust Type","Priority","Cust Vendor No","Ship Via","Ups Act No","Bol Type","Terms","Disc","Line Disc","Pr Cd","Rep1","Comm1","Rep2","Comm2","Rep3","Comm3","Territory","Master Cust","Cust Alias","Controller","Cust Ref1","Cust Ref2","Factor","Factor Cust No","Factor Appr No","Ship Type","Back Order","Fed Tax Id","Tax Exempt","Currency","Def Wh","Price List Id","Order Type","Order Hold","Div","Restrict Order Div","Restrict Style Div","Active","Entered By","Entry Date","Modified By","Modify Date","Terms Description","Credit Line","Cust Ref3","Cust Ref4","Cust Ref5","Sh Rule"
"FACTORY","FACTORY CONNECTION","2300 HIGHWAY 79 S","","GUNTERSVILL","AL","359762220","USA","256-264-9400","256-264-9342","D","C","000901","ROUTING","","001","C3","","","LP","TER","","","","","","","FACTORY","","","","","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","YVONNE","23-MAY-08","RAFAELM","12-JUN-26","CIT NET 30","","","","",""
"FADFRIENDZ","FAD FRIENDZIES","26300 CEDAR ROAD","","BEACHWOOD","OH","44122","USA","216-591-9328","","","C","","","","001","30","","","LP","A.M","","","","","","","FADFRIENDZ","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FAMILYDOLL","FAMILY DOLLAR","P.O. BOX 1017","","CHARLOTTE","NC","282011017","USA","704-847-6961","704-847-5534","","C","101767","TRUCK","","","C9","","","LP","PAM","","","","","","","FAMILYDOLL","","","","","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","MARK","02-JUN-11","EDIOPERATOR","26-DEC-24","CIT NET 90","","","","",""
"FAMILYPHAR","FAMILY PHAEMACY","1114W. JACKSON ST.","","OZARK","MO","65721","USA","901-281-7661","","","C","","","","001","30","","","LP","A.M","","","","","","","FAMILYPHAR","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FAMOUSMART","FAMOUS MART","BOX 220268","","CHARLOTTE","NC","28222","USA","704-333-5157","704-333-5158","","C","","","","001","30","","","LP","A.M","","","","","","","FAMOUSMART","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FANCYLADY","FANCY LADY INC","11603 OAKWOOD LANE","","FORT WORTH","TX","76179","USA","817-236-4343","817-236-3008","","C","","","","001","30","","","LP","A.M","","","","","","","FANCYLADY","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FANTASIA","FANTASIA WORLD","22 WEST 32ND STREET","8TH FLOOR","NEW YORK","NY","10001","","212-714-0008","","","C","","","","","","","","LP","","","","","","","","FANTASIA","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","15-JUL-08","SAMMYH","02-NOV-18","","","","","",""
"FANTASIAS","FANTASIAS MARIANA","C.C LA VILLA 1ER","LOCAL 227 MONTALBAN","CARACAS","XX","XXXXX","VENEZUELA","999 999-9999","","C","C","","","","001","CB","","","LP","A.M","","","","","","","FANTASIAS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","VIVIANA","26-OCT-08","RAFAELM","31-MAR-26","C.B.D","","","","",""
"FARMACIAS","FARMACIAS REYES DE JESUS","AVE. SAN ALFONSO 1320","","RIO PIEDRAS","PR","00921","PUERTO RICO","999 999-9999","","","C","","","","001","30","","","LP","A.M","","","","","","","FARMACIAS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","RAFAELM","31-MAR-26","NET 30","","","","",""
"FASHINRUSH","FASHION RUSH","HYMAN FAMILY INC.","17709 EAST VALLEY BLVD.","CITY OF INDUSTRY","CA","91744","USA","626-810-2550","626-810-2551","","C","","PICKUP","","","","","","LP","SSS","","","","","","","FASHINRUSH","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","SHIPPING","25-AUG-14","SAMMYH","02-NOV-18","","","","","",""
"FASHION","FASHION SOURCE","4605 TUTU PARK MALL#183","","ST. THOMAS","VI","00802","","999 999-9999","","","C","","","","","","","","LP","","","","","","","","FASHION","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","SUSANA","25-SEP-13","RAFAELM","31-MAR-26","","","","","",""
"FASHIONALL","FASHION ALLERT","651 KAPKOWSKI ROAD SUITE #2103","","ELIZABETH","NJ","07201","USA","908-820-0909","","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONALL","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONB","FASHION BRANDS","530 7TH AVE","SUITE 603","NEW YORK","NY","10018","","917-749-3891","","D","C","","FEDGROUND","","","1C","","","LP","MAU","","","","","","","FASHIONB","","","","","","","","COMPLETE","C","","Y","","","","","","","N","N","Y","ADMIN","29-DEC-17","EDIOPERATOR","26-DEC-24","NET 120","200000","","","",""
"FASHIONCRO","FASHION CROSSROADS","228 EAST 2ND STREET","","CASPER","WY","82601","USA","307-237-9221","","","C","","","","001","CC","","","LP","MKR","","","","","","","FASHIONCRO","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","TASHA","20-MAR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"FASHIONEXC","FASHION EXCESS JENNY KIM","6514  B PACI BLVD.FIC","","HUNTINGTON PARK","CA","90012","USA","323-582-9747","","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONEXC","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONGRO","FASHION GROUP MILAN FRANETA","232 BEVERLY DRIVE #218","","BEVERLY HILLS","CA","90212","USA","999 999-9999","","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONGRO","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","RAFAELM","31-MAR-26","NET 30","","","","",""
"FASHIONJEW","FASHION JEWLRY","1717 S. DECATUR E 48","","LAS VEGAS","NV","89117","USA","999 999-9999","","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONJEW","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","RAFAELM","31-MAR-26","NET 30","","","","",""
"FASHIONKIN","FASHION KING","5156-1 NORWOOD AVE","","JACKSONVILLE","FL","32208","USA","904-768-4435","904-768-4436","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONKIN","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONLAD","FASHION LADY CLIFFWORLDWIDE INC.","GALLERIA 1 LEVEL 3 R-115","","HOUSTON","TX","77056","USA","713-622-8829","","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONLAD","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONMOD","FASHION MODE CO.","51 WEST 29TH STREET","","NEW YORK","NY","10001","USA","212-779-7192","","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONMOD","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONNOV","FASHION NOVA","2801 E 46TH ST","","VERNON","CA","90058","USA","999 999-9999","","D","C","","ROUTING","","","3A","","","LP","","","","","","","","FASHIONNOV","","","0","1","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","ALLIE","19-MAY-22","RAFAELM","31-MAR-26","CIT NET 30 DAYS","","","","",""
"FASHIONPAS","FASHION PASSION","470 JACOBS CRT.","","PALS ALTO","CA","94306","USA","650-380-4606","","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONPAS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONR","FASHION R","9844 W. FLORISSANT AVE. AT CHAMBER","ROAD","DELLWOOD","MO","63136","USA","314-369-9904","314-869-9965","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONR","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONRIN","FASHION RINGS WATCHES  SUNGLASSES","LARRY OSHEA 27001U.S 19 NORTH","COUNTRYSIDE MALL","CLEARWATER","FL","33761","USA","727-723-0085","","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONRIN","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONSHO","FASHION SHOP LINDA SPIELBERG","11008 DECIMAL DRIVE","","LOUISVILLE","KY","40299","USA","502-267-5415","502-267-0480","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONSHO","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONTIM","FASHION TIME","11422 HERRY HINES BLVD SUITE#203","","DALLAS","TX","75229","USA","972-241-8280","","","C","","","","001","30","","","LP","A.M","","","","","","","FASHIONTIM","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASHIONUNI","FASHION UNIT","23 LISTER AVENUE","","NEWARK","NJ","07105","","908-660-0985","","","C","","","","","","","","LP","","","","","","","","FASHIONUNI","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","AP","25-FEB-14","SAMMYH","02-NOV-18","","","","","",""
"FASTJET","FAST JET NICOLE","350 PEACH STREET","","MONTEREY PARK","CA","91755","USA","626-285-7612","","","C","","","","001","30","","","LP","A.M","","","","","","","FASTJET","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FASTLINK","FAST LINK INC SULTEX","9401 W.COLONIAL DRIVE#542","","OCOSE","FL","34761","USA","407-295-8484","407-822-9549","","C","","","","001","30","","","LP","A.M","","","","","","","FASTLINK","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FB","FABULOUS  FURS","25 WEST ROBBINS STREET","","COVINGTON   KY  41011","","","","859 2913300","859 2919687","","C","","","","","","","","LP","","","","","","","","FB","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","PRODUCTION","07-MAY-14","SAMMYH","02-NOV-18","","","","","",""
"FEI123","FEI YAN TANG","6/F 106 BLDG JINDI IND ZONE","FUTIAN DISTRICT","SHENZHEN","00","0000000000000","CHINA","999 999-9999","","","C","","","","","","","","LP","","","","","","","","FEI123","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","DEVI","17-SEP-08","RAFAELM","31-MAR-26","","","","","",""
"FEM","FEM","1467 NORTH MILWAUKEE","","CHICAGO","IL","60622","USA","773-276-5170","773-276-5176","","C","","","","001","30","","","LP","A.M","","","","","","","FEM","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FERIA","FERIA ASUNCION S.A","AVE. SAN MARTIN 855","","ASUNCION","PY","1813","PARAGUAY","595 21623114","","D","C","","","","","C3","","","LP","FBR","","","","","","","FERIA","","","","","011","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","07-APR-22","EDIOPERATOR","26-DEC-24","CIT NET 30","","","","",""
"FERN","FAD FRIENDZIES","26300 CEDAR RD","","BEACHWOOD","OH","44122","USA","999 999-9999","","","C","","","","001","30","","","LP","A.M","","","","","","","FERN","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","RAFAELM","31-MAR-26","NET 30","","","","",""
"FESTIVITIE","FESTIVITIES LUCY MICHAN","14407 IMPORT INTERNATIONAL CENTER","","LAREDO","TX","78045","USA","999 999-9999","","","C","","","","001","30","","","LP","A.M","","","","","","","FESTIVITIE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","RAFAELM","31-MAR-26","NET 30","","","","",""
"FFF","FAB FIT FUN","700 N.SAN VINCENTE BLVD","7TH FLOOR, GREEN BUILDING,","LOSANGELES","CA","90069","USA","999 999-9999","","D","C","","","","","C9","","","LP","","","","","","","","FFF","","","","","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","SUMATHI","04-APR-23","RAFAELM","31-MAR-26","CIT NET 90","","","","",""
"FIELDS","FHC ENTERPRISES LTD.","INVOICE PROCESSING","130-766 CLIVEDEN PLACE","DELTA","BC","V3M6C7","USA","604-549-9280","604-523-4700","D","C","","","","001","30","","","LP","A.M","","","","","","","FIELDS","","","","","","2256586","","REGULAR","N","","Y","","","","","","","N","N","N","VIVIANA","24-SEP-09","SAMMYH","02-NOV-18","NET 30","","","","",""
"FILENES","FILENES BASEMENT","ATT: ACCOUNTS PAYABLE","ONE SYMS WAY","SECAUCUS","NJ","07094","USA","201-902-9600","","D","C","","","","001","C6","","","LP","SUS","","","","","","","FILENES","","","","","001","1966186","","REGULAR","N","","N","","","","","","","N","N","N","NADIA","14-JUL-08","SAMMYH","02-NOV-18","CIT NET 60","","","","",""
"FINEFABLOU","FINE FABULOUS APPAREL","14624 MAIN STREET UPPER","","MARLBORO","MD","20772","USA","301-574-4477","","","C","","","","001","30","","","LP","A.M","","","","","","","FINEFABLOU","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FINELINE","FINE LINE 2000#2","38 ALBURG DRIVE","","WINNIIPEG","MB","R2N1L9","CANADA","204-654-9956","204-654-9956","","C","","","","001","30","","","LP","A.M","","","","","","","FINELINE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FINERY","FINERY MARTY LONDON","4632 MC PHEARSON","","ST. LOUIS","MO","63108","USA","314-361-5989","","","C","","","","001","30","","","LP","A.M","","","","","","","FINERY","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FINEST","FINEST WHOLESALE","11320 HARRY HINES BLVD.","","DALLAS","TX","75229","USA","972-484-6591","972-484-9143","","C","","","","001","30","","","LP","A.M","","","","","","","FINEST","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FINEWATCHE","FINE WATCHES INC.","11398 HENRY HINES SUITE 110","","DALLAS","TX","75229","USA","972-484-3233","","","C","","","","001","30","","","LP","A.M","","","","","","","FINEWATCHE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FINISHING","FINISHING TOUCHES","836 LUCERNE AVENUE","","PENSACOLA","FL","32505","","850-291-0797","","","C","","","","001","CC","","","LP","MKR","","","","","","","FINISHING","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","TASHA","20-MAR-08","SAMMYH","02-NOV-18","CREDIT CARD","","","","",""
"FIVEBELOW","FIVE BELOW INC","701 MARKET ST. SUITE 300","","PHILADELPHIA","PA","19106","USA","999 999-9999","","D","C","","","","","3A","","","LP","JOR","","","","","","","FIVEBELOW","","","","","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","13-MAR-25","RAFAELM","31-MAR-26","CIT NET 30 DAYS","","","","",""
"FIVESTAR","FIVE STAR BRANDS","PO BOX 80387","","SEATTLE","WA","98108","USA","999 999-9999","","E","C","","","","","30","","","LP","JLE","","","","","","","FIVESTAR","","","ECOM","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","RACHEL","24-FEB-25","RAFAELM","31-MAR-26","NET 30","","","","",""
"FIXNMORE","FIX N MORE","8001 S ORANGE BLOSSOM TRAIL LOT 2-10","","ORLANDO","FL","32505","USA","407-852-2995","407-852-7776","","C","","","","001","30","","","LP","A.M","","","","","","","FIXNMORE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FKO","JBG INVESTMENTS LTD","23101 COOLIDGE","","OAK PARK","MI","48237","","999 999-9999","","","C","","UPSC","77W809","","C3","","","LP","DAW","","","","","","","FKO","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","ADMIN","22-FEB-13","RAFAELM","31-MAR-26","CIT NET 30","","","","",""
"FL","FABULOUS","","","","","","","999 999-9999","","","C","","","","","","","","LP","","","","","","","","FL","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","PRODUCTION","08-MAY-14","RAFAELM","31-MAR-26","","","","","",""
"FLAIRLINE","FLAIRLINE","28 FASHION CITY","BALLYMOUNT","DUBLIN 24","","","IRELAND","999 999-9999","","","C","","","","","WR","","","LP","SSS","","","","","","","FLAIRLINE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","SHIPPING","24-SEP-14","RAFAELM","31-MAR-26","WIRE","","","","",""
"FLOWERFACT","FLOWER FACTORY","5655 WHIPPLE AVENUE","","NW NORTH CANTON","OH","44720","USA","330-494-0010","330-494-3273","","C","","","","001","","","","LP","","","","","","","","FLOWERFACT","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","20-MAR-08","SAMMYH","02-NOV-18","","","","","",""
"FLOWERSHOP","THE FLOWER SHOP AT PENNINGTON MARKET","25 ROUTE 31 SOUTH","","PENNINGTON","NJ","08534","USA","999 999-9999","","","C","","","","","CC","","","LP","","","","","","","","FLOWERSHOP","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","24-SEP-20","RAFAELM","31-MAR-26","CREDIT CARD","","","","",""
"FOAD","FOAD JRADE","XX XXXXX XXX","","XXX XXXX","NY","00000","","999 999-9999","","","C","","","","","","","","LP","","","","","","","","FOAD","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","NADIAR","20-APR-12","RAFAELM","31-MAR-26","","","","","",""
"FOCUSONFAS","FOCUS ON FASHION BETTY ROBERTS","413 COLISEUM BLVD","","MONTGOMERY","AL","36109","USA","334-272-1170","334-272-1208","","C","","","","001","30","","","LP","A.M","","","","","","","FOCUSONFAS","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FOLLETT","FOLLETT HIGHER EDUCATION GROUP","FOLLETT ACCOUNTS PAYABLE DEPT","PO BOX 3488","OAK BROOK","IL","60522-3488","USA","(312) 828-8700","","","C","","","","","C3","","","LP","STV","","","","","","","FOLLETT","","","","","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","15-OCT-20","EDIOPERATOR","26-DEC-24","CIT NET 30","25000","","","",""
"FOOTWEAR","ASSOCIATED FOOTWEAR","2021 CONCOURSE DRIVE","","ST. LOUIS","MO","63146","USA","314-427-9100","","","C","","","","","C3","","","LP","VKU","","","","","","","FOOTWEAR","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","20-JUN-22","EDIOPERATOR","26-DEC-24","CIT NET 30","","","","",""
"FOREVER21M","FOREVER 21 MX, GLI FINANCIAL ACCOUNTING","JAVIER BARROS SIERRA AVE #540 TORRE 1 P5","COLONIA LOMAS DE SANTA FE","MEXICO CITY","MX","01210","MEXICO","310-990-3066","","W","C","","","","","","","","LP","","","","","","","","FOREVER21M","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","N","SALES","20-OCT-23","STEPHAN","17-MAR-25","","","","","",""
"FORMAN","SWFM RETAIL GROUP LLC","1070 THOMAS BUSCH MEMORIAL HWY","","PENNSAUKEN","NJ","08110","","856-486-1447","856-661-6241","D","C","","ROUTING","","","3A","","","LP","JDR","","","","","","","FORMAN","","","7","7","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","ADMIN","29-JUL-11","RAFAELM","22-JUN-26","CIT NET 30 DAYS","","","","",""
"FOXS","FOX'S","79 MAIN ST","","MINEOLA","NY","11501","USA","516-294-2678","516-294-2682","S","C","","","","001","3B","","","LP","TER","","","","","","","FOXS","","","","","001","6464276","","COMPLETE","C","","N","","","","","","","N","N","Y","YVONNE","20-MAR-08","EDIOPERATOR","26-DEC-24","CIT NET 10 DAYS","","","","",""
"FRANCESCAS","FRANCESCA'S SERVICES","8760 CLAY RD.","","HOUSTON","TX","77080","","999 999-9999","","D","C","","","","","3A","","","LP","","","","","","","","FRANCESCAS","","","","","001","","","COMPLETE","C","","N","","","","","","","N","N","Y","TEREZA","11-AUG-20","RAFAELM","31-MAR-26","CIT NET 30 DAYS","","","","",""
"FRANKGUERR","FRANK  GUERRINI VENDING MACHINE","1211 W.FOURTH ST.","","LEWISTOWN","PA","17044","USA","717-248-9611","","","C","","","","001","30","","","LP","SOS","","","","","","","FRANKGUERR","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FRANSICA","FERNANDE","XX","","XXXXX","XX","XXXXX","USA","999 999-9999","","S","C","","","","001","CA","","","LP","A.M","","","","","","","FRANSICA","","","","","","","","REGULAR","N","","Y","","","","","","","N","N","N","VICTORIA","21-JUN-10","RAFAELM","31-MAR-26","CASH","","","","",""
"FRASERDRUG","FRASER DRUGS &RITE WAY  HARDWARE","7350 GRAND RIVER","","DETROIT","MI","48204","USA","313-790-4422","313-894-0980","","C","","","","001","30","","","LP","A.M","","","","","","","FRASERDRUG","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FREDDISCCE","FREDS DISTRIBUTION CENTER","125 VALAMBROSIA","","DUBLIN","GA","31021","USA","999 999-9999","","","C","","","","001","C6","","","LP","A.M","","","","","","","FREDDISCCE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","20-MAR-08","RAFAELM","31-MAR-26","CIT NET 60","","","","",""
"FREDMEYER","FRED MEYER","PO BOX 305248","","NASHVILLE","TN","37230","","999 999-9999","","","C","","ROUTING","","","60","","","LP","VCT","","","","","","","FREDMEYER","","","","","001","","","REGULAR","N","","Y","","","","","REVIEW","","N","N","N","ADMIN","28-DEC-17","RAFAELM","31-MAR-26","NET 60","","","","",""
"FREDMEYERS","FRED MEYER STORES","3800 SE 22ND","","PORTLAND","OR","97202","USA","1-855-574-2228","","","C","","FEDEXFREIG","","001","C6","","","LP","","","","","","","","FREDMEYERS","","","","","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","NADIAR","11-FEB-11","EDIOPERATOR","11-MAR-25","CIT NET 60","","","","",""
"FREDS","FRED'S INC","4300 NEW GETWELL RD","P.O BOX 18356","MEMPHIS","TN","38181","USA","901 365 8880","","D","C","001340","OLDDOM","","001","C6","","","LP","PAM","","","","","","","FREDS","","","","","","","","COMPLETE","C","","Y","","","","","","","N","N","Y","VIVIANA","18-JAN-11","EDIOPERATOR","26-DEC-24","CIT NET 60","","","","",""
"FREDSINC","FREDS INC","4300 NEW GETWELL ROAD","PO BOX 18356","MEMPHIS","TN","38181","USA","901-365-8880","","","C","","","","001","C6","","","LP","A.M","","","","","","","FREDSINC","","","","","001","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","20-MAR-08","SAMMYH","02-NOV-18","CIT NET 60","","","","",""
"FS","FRANCESCA'S","8760 CLAY ROAD","","HOUSTON,","TX","77080","USA","(713) 864-1358","","D","C","4518","","","","6C","","","LP","","","","","","","","FS","","","","","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","PRODUCTION","26-DEC-14","EDIOPERATOR","11-MAR-25","CIT NET 60","","","","",""
"FU","FABULOUS","25 WEST ROBBINS STREET","","CAVINGTON.KY.41011","","","","859 2913300","859 2919687","","C","","","","","","","","LP","","","","","","","","FU","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","PRODUCTION","08-MAY-14","SAMMYH","02-NOV-18","","","","","",""
"FULFILL","FULFILLMENT SERVICES INC.","4 WALPOLE PARK SOUTH","UNIT 5","WALPOLE","MA","02081","USA","999 999-9999","","","C","","","","","CC","","","LP","","","","","","","","FULFILL","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SAMMYH","27-APR-20","RAFAELM","31-MAR-26","CREDIT CARD","","","","",""
"FULLFIGURE","FULL FIGURE TRACY FICITCH","115 EAST MAIN SUITE 3","","CHANUTE","KS","66720","USA","620-431-4493","","","C","","","","001","30","","","LP","A.M","","","","","","","FULLFIGURE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FULTONJEWE","FULTON JEWELRY ELLIOT BETESH","136W. 125TH ST.","","NEW YORK","NY","10027","USA","212-665-3583","212-316-4785","","C","","","","001","30","","","LP","A.M","","","","","","","FULTONJEWE","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FUNFASHION","FUN FASHIONS ERICA LOPEZ","932 SOUTHILL STREET","","LOS ANGELES","CA","90015","USA","213-244-9992","","","C","","","","001","30","","","LP","A.M","","","","","","","FUNFASHION","","","","","","","","REGULAR","N","","N","","","","","","","N","N","N","YVONNE","26-MAR-08","SAMMYH","02-NOV-18","NET 30","","","","",""
"FUNKY","FUNKY MONKEY TOYS AND BOOKS LLC","360 WHEATLEY PLAZA","","GREENVALE","NY","11548","USA","516-484-0966","516-484-8010","","C","","UPS","","","30","","","LP","HET","","","","","","","FUNKY","","","","","","","","COMPLETE","C","","Y","","","","","","","N","N","Y","SHIPPING2","06-MAR-19","EDIOPERATOR","26-DEC-24","NET 30","","","","",""
"FUNKYMONKE","FUNKY MONKEY GREENWICH","360 WHEATLEY PLAZA","","GREENVALE","NY","11548","USA","203-769-5884","","","C","","UPSGROUND","","","CC","","","LP","HET","","","","","","","FUNKYMONKE","","","","","","","","COMPLETE","C","","Y","","","","","","","N","N","Y","SHIPPING2","02-JUL-19","EDIOPERATOR","26-DEC-24","CREDIT CARD","","","","",""
"FUNLINX","FUNLIX UK LTD","21-75 SHEITON STREET","COVENT GARDEN","LONDON","XX","WC2H 9JQ","UK","999 999-9999","","","C","","","","","WR","","","LP","FBR","","","","","","","FUNLINX","","","","","","","","COMPLETE","C","","N","","","","","","","N","N","Y","SALES","23-FEB-22","RAFAELM","31-MAR-26","WIRE","","","","",""
"G-WAY","G-WAY","4609 SHEILA ST","","COMMERCE","CA","90040","USA","323-261-0149","","","C","","FEDGROUND","","","CG","","","LP","VCT","","","","","","","G-WAY","","","","","001","","","COMPLETE","C","","Y","","","","","","","N","N","Y","ADMIN","20-JUN-17","EDIOPERATOR","26-DEC-24","CHECK ROG","","","","",""
"GABES","GABES","55 SCOTT AVENUE","MORGANTOWN","WV 26508-8853","WV","26508-8853","USA","(304) 292-6965","(304) 292-3191","","C","","","","","","","","LP","","","","","","","","GABES","","","START/CANCEL DATE","START/CANCEL DATE","","","","REGULAR","Y","","N","","","","","","","N","N","N","ABBY","14-SEP-20","EDIOPERATOR","05-FEB-25","","","","","",""
